idx,c
75,5.639434337615966797e+00
76,5.268448829650878906e+00
77,4.889993667602539062e+00
78,4.566198348999023438e+00
79,4.241904258728027344e+00
80,4.018040180206298828e+00
81,3.744704723358154297e+00
82,3.493353843688964844e+00
83,3.264803886413574219e+00
84,2.988310813903808594e+00
85,2.736934900283813477e+00
86,2.463105678558349609e+00
87,2.170839309692382812e+00
88,1.932638525962829590e+00
89,1.693786621093750000e+00
90,1.537755846977233887e+00
91,1.353135466575622559e+00
92,1.195516467094421387e+00
93,1.047417163848876953e+00
94,8.854402303695678711e-01
95,7.382979393005371094e-01
96,6.214293837547302246e-01
97,4.969955682754516602e-01
98,4.055499434471130371e-01
99,2.828402221202850342e-01
100,1.858079135417938232e-01
101,8.354637026786804199e-02
102,-1.546625792980194092e-02
103,-1.044900715351104736e-01
104,-1.996881663799285889e-01
105,-2.872260808944702148e-01
106,-3.732894659042358398e-01
107,-4.634249210357666016e-01
108,-5.485482215881347656e-01
109,-6.325516104698181152e-01
110,-7.101048827171325684e-01
111,-7.916263937950134277e-01
112,-8.608553409576416016e-01
113,-9.426263570785522461e-01
114,-1.006524920463562012e+00
115,-1.074151277542114258e+00
116,-1.129449129104614258e+00
117,-1.180726885795593262e+00
118,-1.241687059402465820e+00
119,-1.297673225402832031e+00
120,-1.353463411331176758e+00
121,-1.418168306350708008e+00
122,-1.475883960723876953e+00
123,-1.542399525642395020e+00
124,-1.597159743309020996e+00
125,-1.655269861221313477e+00
126,-1.712911963462829590e+00
127,-1.766710519790649414e+00
128,-1.821298956871032715e+00
129,-1.868788361549377441e+00
130,-1.925479054450988770e+00
131,-1.972165465354919434e+00
132,-2.018466949462890625e+00
133,-2.065381765365600586e+00
134,-2.111781120300292969e+00
135,-2.153816461563110352e+00
136,-2.192137956619262695e+00
137,-2.232417821884155273e+00
138,-2.268389225006103516e+00
139,-2.298415660858154297e+00
140,-2.330819368362426758e+00
141,-2.359188556671142578e+00
142,-2.394737482070922852e+00
143,-2.428668022155761719e+00
144,-2.456410884857177734e+00
